PLANT_ID,TIME,HOURS_POST_DEPLOY,SPECIES,TREATMENT,NUM_EGG_PRESENT,PROP_SURV
20,1800,8,INC,OPEN,2,1
21,1800,8,INC,OPEN,2,1
22,1800,8,INC,OPEN,2,1
23,1800,8,INC,OPEN,2,1
24,1800,8,INC,OPEN,1,0.5
25,1800,8,INC,OPEN,2,1
26,1800,8,INC,OPEN,2,1
27,1800,8,INC,OPEN,2,1
28,1800,8,INC,OPEN,2,1
29,1800,8,INC,OPEN,2,1
30,1800,8,INC,OPEN,2,1
1,2000,10,SYR,CLOSED,2,1
2,2000,10,SYR,CLOSED,2,1
3,2000,10,SYR,CLOSED,2,1
4,2000,10,SYR,CLOSED,2,1
5,2000,10,SYR,CLOSED,2,1
6,2000,10,SYR,CLOSED,2,1
7,2000,10,SYR,CLOSED,2,1
8,2000,10,SYR,CLOSED,1,0.5
9,2000,10,SYR,CLOSED,2,1
10,2000,10,SYR,CLOSED,2,1
11,2000,10,SYR,CLOSED,2,1
12,2000,10,SYR,CLOSED,2,1
13,2000,10,SYR,CLOSED,2,1
14,2000,10,SYR,CLOSED,2,1
15,2000,10,SYR,CLOSED,2,1
16,2000,10,INC,CLOSED,2,1
17,2000,10,INC,CLOSED,2,1
18,2000,10,INC,CLOSED,2,1
19,2000,10,INC,CLOSED,2,1
20,2000,10,INC,CLOSED,2,1
21,2000,10,INC,CLOSED,2,1
22,2000,10,INC,CLOSED,2,1
23,2000,10,INC,CLOSED,2,1
24,2000,10,INC,CLOSED,2,1
25,2000,10,INC,CLOSED,2,1
26,2000,10,INC,CLOSED,2,1
27,2000,10,INC,CLOSED,2,1
28,2000,10,INC,CLOSED,2,1
29,2000,10,INC,CLOSED,2,1
30,2000,10,INC,CLOSED,2,1
1,2000,10,SYR,OPEN,2,1
2,2000,10,SYR,OPEN,2,1
3,2000,10,SYR,OPEN,2,1
4,2000,10,SYR,OPEN,0,0
5,2000,10,SYR,OPEN,1,0.5
6,2000,10,SYR,OPEN,1,0.5
7,2000,10,SYR,OPEN,2,1
8,2000,10,SYR,OPEN,2,1
9,2000,10,SYR,OPEN,2,1
10,2000,10,SYR,OPEN,2,1
11,2000,10,SYR,OPEN,2,1
12,2000,10,SYR,OPEN,0,0
13,2000,10,SYR,OPEN,0,0
14,2000,10,SYR,OPEN,0,0
15,2000,10,SYR,OPEN,0,0
16,2000,10,INC,OPEN,2,1
17,2000,10,INC,OPEN,2,1
18,2000,10,INC,OPEN,2,1
19,2000,10,INC,OPEN,2,1
20,2000,10,INC,OPEN,2,1
21,2000,10,INC,OPEN,2,1
22,2000,10,INC,OPEN,2,1
23,2000,10,INC,OPEN,2,1
24,2000,10,INC,OPEN,1,0.5
25,2000,10,INC,OPEN,2,1
26,2000,10,INC,OPEN,2,1
27,2000,10,INC,OPEN,2,1
28,2000,10,INC,OPEN,2,1
29,2000,10,INC,OPEN,2,1
30,2000,10,INC,OPEN,2,1
1,2200,12,SYR,CLOSED,2,1
2,2200,12,SYR,CLOSED,2,1
3,2200,12,SYR,CLOSED,2,1
4,2200,12,SYR,CLOSED,2,1
5,2200,12,SYR,CLOSED,2,1
6,2200,12,SYR,CLOSED,2,1
7,2200,12,SYR,CLOSED,2,1
8,2200,12,SYR,CLOSED,1,0.5
9,2200,12,SYR,CLOSED,2,1
10,2200,12,SYR,CLOSED,2,1
11,2200,12,SYR,CLOSED,2,1
12,2200,12,SYR,CLOSED,2,1
13,2200,12,SYR,CLOSED,2,1
14,2200,12,SYR,CLOSED,2,1
15,2200,12,SYR,CLOSED,2,1
16,2200,12,INC,CLOSED,2,1
17,2200,12,INC,CLOSED,2,1
18,2200,12,INC,CLOSED,2,1
19,2200,12,INC,CLOSED,2,1
20,2200,12,INC,CLOSED,2,1
21,2200,12,INC,CLOSED,2,1
22,2200,12,INC,CLOSED,2,1
23,2200,12,INC,CLOSED,2,1
24,2200,12,INC,CLOSED,2,1
25,2200,12,INC,CLOSED,2,1
26,2200,12,INC,CLOSED,2,1
27,2200,12,INC,CLOSED,2,1
